perodFrom,periodTo,zoneFrom,zoneTo,Auto,Transit
0,1,1,1,14.72035,34.44396
0,1,1,2,6.03977,5.487799
0,1,1,3,0.6797935,0.2028489
0,1,1,4,0.17106,0.03334423
0,1,1,5,0.07462784,0.02723447
0,1,1,6,0.08222795,0.03980749
0,1,1,7,0.1208642,0.06044265
0,1,1,8,0.05548316,0.02161059
0,1,1,9,0.0943775,0.02371497
0,1,1,10,0.01424714,0.001423536
0,1,1,11,0.03834732,0.005747471
0,1,1,12,0.07511676,0.02856711
0,1,1,13,0.06003699,0.01975866
0,1,1,14,0.07577261,0.01954636
0,1,1,15,0.07486133,0.01800672
0,1,1,16,0.1158174,0.02043113
0,1,1,17,0.07547127,0.0173626
0,1,1,18,0.04193993,0.01077384
0,1,1,19,0.0282088,0.002090166
0,1,1,20,0.008552696,0.0006679151
0,1,1,21,0.007713985,0.0008711749
0,1,1,22,0.08269577,0.009827369
0,1,1,23,0.02018063,0.001894172
0,1,1,24,0.06695861,0.007253279
0,1,1,25,0.003223263,0.0001544909
0,1,1,30,0.05285011,0.006985938
0,1,1,32,0.0126907,0.0005822809
0,1,1,33,0.115371,0.02630777
0,1,1,34,2.871995,3.020639
0,1,1,35,0.01771611,0.001398398
0,1,1,36,0.001407786,0.0001600034
0,1,1,38,0.001664179,8.156569E-05
0,1,1,39,0.001905377,0.0001037259
0,1,1,40,0.001393316,0.0001131394
0,1,2,1,6.984787,6.540481
0,1,2,2,18.45679,42.1547
0,1,2,3,4.634709,3.384277
0,1,2,4,0.3073834,0.1588483
0,1,2,5,0.1166529,0.09664813
0,1,2,6,0.1228477,0.1310679
0,1,2,7,0.1823642,0.2047376
0,1,2,8,0.08889177,0.07198503
0,1,2,9,0.1571286,0.08986982
0,1,2,10,0.08961911,0.02007151
0,1,2,11,0.07253948,0.02337749
0,1,2,12,0.1303979,0.1076353
0,1,2,13,0.1173019,0.0716165
0,1,2,14,0.1443673,0.07050733
0,1,2,15,0.1444852,0.06008122
0,1,2,16,0.2190252,0.07720762
0,1,2,17,0.1380696,0.06711447
0,1,2,18,0.07708478,0.04201999
0,1,2,19,0.1794848,0.02861683
0,1,2,20,0.0571237,0.009311602
0,1,2,21,0.05599884,0.01241923
0,1,2,22,0.2345513,0.05219414
0,1,2,23,0.04025934,0.007179712
0,1,2,24,0.1376114,0.027493
0,1,2,25,0.0126513,0.001457516
0,1,2,30,0.3859988,0.1324749
0,1,2,31,0.002970551,8.796366E-05
0,1,2,32,0.01707297,0.001658721
0,1,2,33,0.09491163,0.01505661
0,1,2,34,2.176229,1.646619
0,1,2,35,0.07113042,0.01182891
0,1,2,36,0.009390886,0.001889857
0,1,2,38,0.01270161,0.001166863
0,1,2,39,0.01290941,0.001606831
0,1,2,40,0.009263395,0.001674789
0,1,3,1,0.8166511,0.2453845
0,1,3,2,3.851936,2.756001
0,1,3,3,25.1228,48.96776
0,1,3,4,0.4574321,0.2175833
0,1,3,5,0.08132591,0.03075352
0,1,3,6,0.09361713,0.04272378
0,1,3,7,0.1420549,0.06085623
0,1,3,8,0.05953791,0.02548898
0,1,3,9,0.1384734,0.03965247
0,1,3,10,0.2322059,0.1308774
0,1,3,11,0.06939301,0.01487483
0,1,3,12,0.08097623,0.0325356
0,1,3,13,0.06000572,0.02582858
0,1,3,14,0.07817558,0.0264529
0,1,3,15,0.07768416,0.02514094
0,1,3,16,0.127108,0.02924296
0,1,3,17,0.08107959,0.02356451
0,1,3,18,0.04854938,0.01588959
0,1,3,19,0.2501841,0.05958638
0,1,3,20,0.06489224,0.01467966
0,1,3,21,0.06595575,0.01861451
0,1,3,22,0.227848,0.04825161
0,1,3,23,0.03382408,0.004143164
0,1,3,24,0.08355911,0.01231984
0,1,3,25,0.009625134,0.0009674085
0,1,3,30,2.937202,3.366441
0,1,3,31,0.04957158,0.00490216
0,1,3,32,0.2254629,0.0689645
0,1,3,33,0.6875499,0.3254336
0,1,3,34,2.865797,2.002081
0,1,3,35,0.8397489,0.4619685
0,1,3,36,0.02863277,0.003676157
0,1,3,37,0.00349273,0.0006020524
0,1,3,38,0.01028019,0.0008008478
0,1,3,39,0.006848289,0.0008698402
0,1,3,40,0.004436039,0.00081166
0,1,4,1,0.05111027,0.01260532
0,1,4,2,0.1445637,0.03572728
0,1,4,3,0.128469,0.03181402
0,1,4,4,46.50539,11.50838
0,1,4,5,0.6555779,0.1589346
0,1,4,6,1.448949,0.3524224
0,1,4,7,2.504554,0.6082739
0,1,4,8,0.8300213,0.2025039
0,1,4,9,5.470068,1.330333
0,1,4,10,0.01395984,0.003419544
0,1,4,11,1.939827,0.4672882
0,1,4,12,1.494765,0.3617225
0,1,4,13,0.5669018,0.1371208
0,1,4,14,0.497198,0.1206089
0,1,4,15,0.4083838,0.09896196
0,1,4,16,0.6135303,0.1485303
0,1,4,17,0.6316926,0.1530685
0,1,4,18,0.8045633,0.1948703
0,1,4,19,0.08360153,0.02032779
0,1,4,20,0.02914235,0.00709118
0,1,4,21,0.05137323,0.01248818
0,1,4,22,1.887174,0.4550292
0,1,4,23,0.08764222,0.021154
0,1,4,24,0.1367166,0.03302846
0,1,4,25,0.01404298,0.003399035
0,1,4,30,0.03044078,0.007518288
0,1,4,31,0.00323113,0.0007843564
0,1,4,32,0.006649271,0.001627148
0,1,4,33,0.008742851,0.002149978
0,1,4,34,0.02483796,0.006131324
0,1,4,35,0.04038738,0.00980975
0,1,4,36,0.03025993,0.007366274
